Metric,Year 1,Year 2,Year 3,Year 4,Year 5
Customer Metrics,,,,,
SME SaaS Customers,50,250,1000,3000,7500
Enterprise Clients,2,10,35,100,250
,,,,,
Revenue Streams (USD),,,,,
ARPU - SME (Monthly),30,30,35,35,40
ARPU - Enterprise (Monthly),500,500,600,600,750
Hardware Margin / Setup Fees,5000,25000,85000,200000,500000
Total Annual Revenue,29000,175000,757000,2180000,6350000
,,,,,
Unit Economics,,,,,
Customer Acquisition Cost (CAC),150,120,100,90,80
Lifetime Value (LTV),1000,1200,1500,1600,1800
LTV:CAC Ratio,6.6,10,15,17.7,22.5
Churn Rate (Annual),12%,10%,8%,7%,5%
,,,,,
Expenses & Burn (USD),,,,,
R&D (Engineering & Tech),120000,200000,400000,750000,1200000
Sales & Marketing,40000,100000,250000,600000,1100000
G&A (Legal/Ops/Compliance),30000,60000,120000,250000,500000
Total Operating Expenses,190000,360000,770000,1600000,2800000
,,,,,
Profitability,,,,,
EBITDA,-161000,-185000,-13000,580000,3550000
Monthly Burn Rate,13416,15416,1083,0,0
Cash Balance (Post-Raise),839000,654000,641000,1221000,4771000
